Type,Contract,Price,Quantity,PnL,Remaining
BUY,May 3% $59.05,59.05,1,0.00,May 3% $59.05 1 @ 59.05
BUY,May 3% $59.20,59.20,1,0.00,May 3% $59.20 1 @ 59.2
BUY,June 3% $59.20,59.20,2,0.00,June 3% $59.20 2 @ 59.2
BUY,June 3% $60.70,60.70,2,0.00,June 3% $60.70 2 @ 60.7
BUY,June 3% $60.35,60.35,2,0.00,June 3% $60.35 2 @ 60.35
BUY,June 3% $59.85,59.85,2,0.00,June 3% $59.85 2 @ 59.85
BUY,June 3% $60.25,60.25,2,0.00,June 3% $60.25 2 @ 60.25
BUY,June 3% $60.40,60.40,4,0.00,June 3% $60.40 4 @ 60.4
BUY,June 3% $60.30,60.30,3,0.00,June 3% $60.30 3 @ 60.3
SELL,June 3% $60.25,60.25,2,0.00,Matched 2 @ 60.25
